system,geo
africa,TRUE
african,TRUE
african savanna,TRUE
amazon,TRUE
amazonia,TRUE
amazonian,TRUE
amazonian forest,TRUE
andean,TRUE
andes,TRUE
angola,TRUE
arctic,TRUE
aruba,TRUE
atlantic,TRUE
atlantic forest,TRUE
australia,TRUE
australian wet,TRUE
austria,TRUE
bahamas,TRUE
baja california,TRUE
barro colorado,TRUE
bci,TRUE
belgium,TRUE
belize,TRUE
benin,TRUE
bolivia,TRUE
bolivian,TRUE
boreal,TRUE
boreal forest,TRUE
bornean,TRUE
borneo,TRUE
brazil,TRUE
brazilian,TRUE
brazilian atlantic,TRUE
british isles,TRUE
brunei,TRUE
burkina faso,TRUE
burma,TRUE
burundi,TRUE
caatinga,TRUE
california mexico,TRUE
cambodia,TRUE
cameroon,TRUE
canada,TRUE
canadian,TRUE
caribbean,TRUE
cayman islands,TRUE
central,TRUE
central amazonia,TRUE
cerrado,TRUE
chamela,TRUE
chiapas mexico,TRUE
colombia,TRUE
colombian caribbean,TRUE
comoros,TRUE
congo,TRUE
costa rica,TRUE
costarica,TRUE
cuba,TRUE
dominica,TRUE
dominican republic,TRUE
dry tropical,TRUE
east timor,TRUE
eastern decid,TRUE
eastern pacific,TRUE
ecuador,TRUE
el salvador,TRUE
england,TRUE
equatorial guinea,TRUE
ethiopia,TRUE
finland,TRUE
france,TRUE
french guiana,TRUE
gabon,TRUE
galapagos,TRUE
germany,TRUE
ghana,TRUE
ghats india,TRUE
golfo dulce,TRUE
great basin,TRUE
grenada,TRUE
guadeloupe,TRUE
guam,TRUE
guatemala,TRUE
guyana,TRUE
haiti,TRUE
hawaii,TRUE
honduras,TRUE
india,TRUE
indian,TRUE
indonesia,TRUE
ivory coast,TRUE
jamaica,TRUE
kenya,TRUE
kruger,TRUE
la selva,TRUE
lowland tropical,TRUE
madagascar,TRUE
malawi,TRUE
malaysia,TRUE
manu national,TRUE
martinique,TRUE
mauritius,TRUE
mayotte,TRUE
mexico,TRUE
mozambique,TRUE
myanmar,TRUE
national park,TRUE
neotropic,TRUE
neotropical,TRUE
neotropical forest,TRUE
neotropical rainforest,TRUE
netherlands,TRUE
netherlands antilles,TRUE
new zealand,TRUE
nicaragua,TRUE
nicoya costarica,TRUE
nigeria,TRUE
north america,TRUE
north american,TRUE
norway,TRUE
nouragues,TRUE
pacific,TRUE
pacific coast,TRUE
paleotropic,TRUE
panama,TRUE
papua new,TRUE
paraguay,TRUE
park costarica,TRUE
peru,TRUE
philippines,TRUE
polar,TRUE
puerto rico,TRUE
reunion,TRUE
rwanda,TRUE
saint lucia,TRUE
saint maarten,TRUE
serengeti,TRUE
seychelles,TRUE
singapore,TRUE
south,TRUE
south eastern,TRUE
southeastern brazil,TRUE
southern,TRUE
suriname,TRUE
sweden,TRUE
tanzania,TRUE
temperate rain forest,TRUE
thailand,TRUE
togo,TRUE
trinidad,TRUE
tropic,TRUE
tropical,TRUE
tropical dry,TRUE
tropical dryforest,TRUE
tropical forest,TRUE
tropical montane,TRUE
tropical rainforest,TRUE
tropical tree,TRUE
tropical wet,TRUE
tropical wet forest,TRUE
tropics,TRUE
tuxtlas,TRUE
uganda,TRUE
united kingdom,TRUE
usa,TRUE
venezuela,TRUE
veracruz mexico,TRUE
vietnam,TRUE
virgin islands,TRUE
western ghats,TRUE
yasuni,TRUE
zambia,TRUE
